nickname,lvl,current_hp,max_hp,nature__name,hp_iv,attack_iv,special_attack_iv,speed_iv,defense_iv,special_defense_iv,pokedexId,order,baseStats,isShiny,avgIV,sellPrice,caughtAt,move1,move2,move3,move4
Charmander,15,37,37,Mild,2,28,10,20,21,26,4,4,309,FALSE,18,589,2023-08-09 18:21:01,Fire Punch,Tickle,Flame Wheel,Dragon Claw
Charmeleon,16,48,48,Jolly,24,4,8,9,5,3,5,5,405,FALSE,9,493,2022-12-09 20:18:20,Heat Crash,Force Palm,Flame Wheel,Dragon Rage
Charmeleon,38,100,100,Lonely,21,13,31,28,7,17,5,5,405,FALSE,20,959,2023-03-08 00:50:35,Screech,Sunny Day,Dual Chop,Heat Crash
Squirtle,18,38,44,Hardy,1,20,17,8,25,12,7,7,314,FALSE,14,549,2023-01-18 14:33:05,Aqua Jet,Psycho Cut,Crabhammer,Magic Coat
Squirtle,15,40,40,Relaxed,16,31,23,14,2,9,7,7,314,FALSE,16,560,2024-04-08 17:50:04,Bubble Beam,Octazooka,Bullet Punch,Magnet Bomb
Wartortle,15,46,46,Mild,23,22,12,9,29,18,8,8,405,FALSE,19,700,2023-04-26 20:38:51,Bubble Beam,Heart Stamp,Mirror Shot,Brine
Caterpie,15,41,41,Hasty,21,6,28,1,15,30,10,10,195,FALSE,17,104,2023-02-21 03:34:40,Poison Jab,Signal Beam,Silver Wind,Sludge
Caterpie,3,16,16,Modest,21,23,10,29,3,19,10,10,195,FALSE,18,48,2023-06-16 02:06:58,Snarl,Steamroller,Foul Play,Bug Bite
Metapod,9,30,30,Sassy,30,26,21,17,29,29,11,11,205,FALSE,25,128,2023-11-13 17:40:27,Attack Order,Snarl,Steamroller,Foul Play
Butterfree,5,21,21,Impish,4,24,10,21,25,26,12,12,395,FALSE,18,190,2023-03-09 21:35:45,Double Hit,U-turn,Air Cutter,Poison Fang
Butterfree,14,43,43,Lax,17,26,28,12,26,7,12,12,395,FALSE,19,336,2024-02-11 21:27:01,Smart Strike,Steamroller,Air Cutter,Psych Up
Butterfree,3,16,16,Quirky,8,28,24,30,17,26,12,12,395,FALSE,22,178,2024-02-13 15:27:03,Relic Song,Mirror Move,Silver Wind,Magnet Bomb
Butterfree,21,61,61,Quiet,26,12,30,30,13,30,12,12,395,FALSE,24,501,2024-06-05 01:30:57,Acid Spray,Signal Beam,Crush Claw,Feather Dance
Butterfree,8,30,30,Hardy,31,29,28,23,21,28,12,12,395,FALSE,27,351,2024-05-01 04:07:38,Dragon Pulse,Bug Buzz,Wing Attack,Slam
Weedle,14,37,37,Modest,17,29,29,11,21,15,13,13,195,FALSE,20,122,2023-02-08 00:33:45,Vice Grip,Sludge,Silver Wind,Steamroller
Kakuna,8,26,26,Hardy,10,31,9,2,7,19,14,14,205,FALSE,13,62,2024-03-18 20:28:06,Rapid Spin,Electroweb,X-Scissor,Sludge Bomb
Kakuna,11,32,32,Bold,12,19,30,6,15,0,14,14,205,FALSE,14,76,2023-04-19 17:53:44,Struggle Bug,Acid Spray,Poison Fang,Swift
Beedrill,13,41,41,Timid,9,17,26,0,4,26,15,15,395,FALSE,14,229,2022-09-13 20:42:49,Thunder Wave,Metronome,Sludge,Bug Bite
Beedrill,8,29,29,Calm,13,18,9,26,29,7,15,15,395,FALSE,17,223,2023-10-15 21:54:47,Poison Sting,Double-Edge,Poison Fang,Signal Beam
Beedrill,6,24,24,Docile,10,3,20,29,19,22,15,15,395,FALSE,17,195,2023-03-27 17:36:43,Slam,Sludge,Grass Knot,Bug Bite
Pidgey,11,32,32,Sassy,29,3,11,8,0,12,16,16,251,FALSE,11,72,2023-05-27 10:10:05,Brutal Swing,Aerial Ace,Tickle,Vice Grip
Pidgey,18,45,45,Hasty,15,5,3,20,16,13,16,16,251,FALSE,12,105,2024-03-27 04:33:49,Hurricane,Dragon Tail,Flail,Growth
Pidgey,12,34,34,Bashful,22,19,3,19,11,7,16,16,251,FALSE,14,96,2023-03-20 11:21:21,Endeavor,Mirror Coat,Headbutt,Gust
Pidgey,4,17,17,Bold,9,23,17,15,14,25,16,16,251,FALSE,17,71,2024-05-12 04:39:31,Bite,Sharpen,Air Cutter,Howl
Pidgey,6,22,22,Lonely,24,28,23,5,23,5,16,16,251,FALSE,18,91,2024-06-05 20:16:03,Flash,Submission,Gust,Cut
Pidgeotto,5,22,22,Quiet,29,5,3,10,2,2,17,17,349,FALSE,9,78,2022-08-20 03:56:16,Acrobatics,Wake-Up Slap,Whirlwind,Comet Punch
Pidgeot,1,12,12,Naive,3,7,30,1,1,0,18,18,479,FALSE,7,39,2024-02-17 22:27:10,Submission,Spike Cannon,Pluck,Noble Roar
Pidgeot,10,39,39,Naughty,30,2,26,8,0,27,18,18,479,FALSE,16,276,2022-12-02 10:17:52,Tearful Look,Acrobatics,Pursuit,Spike Cannon
Pidgeot,7,29,29,Relaxed,13,28,26,22,22,20,18,18,479,FALSE,22,326,2024-06-03 17:30:53,Snarl,Covet,Air Cutter,Mind Reader
Rattata,3,14,14,Calm,5,5,6,12,15,6,19,19,253,FALSE,8,29,2023-11-12 22:10:27,Tearful Look,Force Palm,Wring Out,Super Fang
Rattata,7,22,22,Rash,19,7,3,31,31,19,19,19,253,FALSE,18,101,2022-12-10 08:02:10,Tail Slap,Extrasensory,Smokescreen,Strength
Rattata,10,28,28,Naive,25,21,25,6,29,25,19,19,253,FALSE,22,144,2024-02-02 02:13:05,Smokescreen,Fury Attack,Bind,Brutal Swing
Raticate,4,18,18,Rash,9,12,13,9,1,1,20,20,413,FALSE,8,73,2023-02-09 02:19:23,Comet Punch,Baton Pass,Secret Sword,Snarl
Raticate,3,16,16,Jolly,16,26,30,10,16,14,20,20,413,FALSE,19,157,2023-06-19 21:22:06,Mega Kick,Psybeam,Psystrike,Play Nice
Raticate,7,26,26,Hardy,21,22,17,19,31,5,20,20,413,FALSE,19,246,2023-06-17 04:07:03,Feint Attack,Tail Whip,Mind Reader,Mach Punch
Raticate,8,28,28,Rash,22,22,31,23,15,21,20,20,413,FALSE,22,307,2024-04-17 01:36:20,Whirlwind,Comet Punch,Double Hit,Low Kick
Spearow,7,24,24,Quirky,28,22,28,26,8,9,21,21,262,FALSE,20,115,2022-11-10 22:30:59,Smart Strike,Pluck,Swift,Sing
Fearow,6,25,25,Jolly,22,11,27,8,13,4,22,22,442,FALSE,14,180,2022-10-12 23:13:48,Wing Attack,Leer,Wring Out,Dragon Tail
Ekans,9,25,25,Quirky,3,4,17,5,27,1,23,23,288,FALSE,10,67,2022-09-13 16:58:17,Poison Fang,Poison Tail,Covet,Nuzzle
Ekans,18,44,44,Quiet,20,20,27,26,21,13,23,23,288,FALSE,21,213,2024-05-02 00:38:12,Toxic Thread,Grass Knot,Sludge,Sing
Arbok,8,29,29,Serious,27,11,3,11,30,6,24,24,448,FALSE,15,219,2023-01-11 15:47:55,Electroweb,Needle Arm,Sludge Bomb,Toxic
Arbok,11,35,35,Hardy,14,25,29,11,12,0,24,24,448,FALSE,15,265,2023-10-17 23:40:02,Teeter Dance,Sludge,Poison Fang,Razor Leaf
Pikachu,5,19,19,Calm,10,10,15,7,0,17,25,25,320,FALSE,10,82,2024-02-09 23:56:59,Spark,Weather Ball,Thunder Fang,Baby-Doll Eyes
Pikachu,7,21,21,Timid,1,26,8,4,23,2,25,25,320,FALSE,11,106,2023-08-24 14:22:22,Shock Wave,Spark,Body Slam,Draining Kiss
Pikachu,1,11,11,Calm,0,1,28,7,25,7,25,25,320,FALSE,11,42,2024-01-21 16:41:47,Body Slam,Spark,Seed Bomb,Eerie Impulse
Pikachu,9,25,25,Hardy,5,16,28,15,1,24,25,25,320,FALSE,15,167,2023-11-15 16:10:56,Mega Punch,Spark,Twister,Thunder Punch
Pikachu,11,31,31,Bold,26,26,31,27,14,2,25,25,320,FALSE,21,262,2022-10-18 07:58:52,Swords Dance,Thunder Wave,Zap Cannon,Snap Trap
Pikachu,14,35,37,Lonely,28,14,22,24,31,11,25,25,320,FALSE,22,305,2023-01-05 16:03:35,Thunder Punch,Spark,Twister,Dazzling Gleam
Raichu,9,30,30,Careful,12,22,30,25,24,3,26,26,485,FALSE,19,430,2023-05-06 23:39:20,Nature’s Madness,Parabolic Charge,Thunder Wave,Stomp
Sandshrew,7,24,24,Sassy,4,17,27,28,19,17,27,27,300,FALSE,19,122,2023-01-30 19:48:26,Mud Bomb,Cotton Spore,Bone Club,Mega Kick
Sandslash,14,47,47,Naughty,18,18,14,4,7,27,28,28,450,FALSE,15,291,2023-04-14 00:53:10,Baton Pass,Mud Shot,Bulldoze,Darkest Lariat
Nidoran?,12,36,36,Timid,7,13,13,9,17,18,29,29,275,FALSE,13,100,2024-02-15 16:12:06,Wring Out,Poison Tail,Cotton Spore,Sludge
Nidoran?,7,26,26,Naive,21,19,7,4,2,30,29,29,275,FALSE,14,83,2022-06-19 04:03:36,Nuzzle,Acid Spray,Smog,Sing
Nidoran?,10,33,33,Impish,28,5,13,15,27,19,29,29,275,FALSE,18,127,2024-02-15 16:12:06,Play Nice,Electroweb,Poison Tail,Sludge
Nidorina,9,32,32,Quirky,14,3,19,19,5,29,30,30,365,FALSE,15,191,2023-03-02 17:06:07,Venom Drench,Acid Spray,Thunder Fang,Mega Drain
Nidorina,1,12,12,Timid,22,31,12,25,15,11,30,30,365,FALSE,19,83,2023-07-19 14:18:41,Sludge,Razor Leaf,Gunk Shot,Magnet Rise
Nidoqueen,15,53,53,Hasty,12,31,18,15,22,27,31,31,505,FALSE,21,624,2023-04-28 23:09:00,Coil,Swift,Bone Club,Bite
Nidoqueen,19,66,66,Naughty,19,31,27,31,28,16,31,31,505,FALSE,25,854,2023-03-10 15:05:41,Signal Beam,Baton Pass,Smog,Earthquake
Nidoran?,4,17,17,Naughty,7,5,2,21,1,13,32,32,273,FALSE,8,36,2023-11-03 23:25:15,Poison Sting,Sleep Powder,Thunder Fang,Clear Smog
Nidoran?,15,38,38,Impish,1,12,30,28,23,11,32,32,273,FALSE,18,152,2022-06-13 18:18:49,Acid Spray,Electroweb,Clear Smog,Headbutt
Nidoran?,1,12,12,Jolly,18,18,27,30,12,7,32,32,273,FALSE,19,42,2023-05-25 05:10:19,Thunder Wave,Grass Knot,Venoshock,Acid Spray
Nidorino,5,22,22,Rash,26,4,13,5,8,10,33,33,365,FALSE,11,105,2023-09-27 02:38:40,Poison Fang,Eerie Impulse,Coil,Thunder Fang
Nidorino,4,19,19,Lonely,14,3,23,13,10,12,33,33,365,FALSE,13,107,2023-11-03 15:25:10,Noble Roar,Attack Order,Poison Fang,Sludge
Nidorino,10,33,33,Sassy,9,15,9,21,8,22,33,33,365,FALSE,14,190,2022-11-09 00:01:27,Acid,Sludge,Shock Wave,Bug Buzz
Nidoking,6,25,25,Rash,3,30,12,21,5,1,34,34,505,FALSE,12,227,2023-03-15 01:06:30,Sand Attack,Sludge Bomb,Work Up,Leaf Tornado
Clefairy,9,32,32,Hardy,8,18,1,16,10,0,35,35,323,FALSE,9,70,2022-08-09 17:40:44,Petal Blizzard,Moonlight,Charm,Rapid Spin
Clefairy,24,74,74,Serious,29,1,4,5,18,16,35,35,323,FALSE,12,158,2024-01-28 16:41:58,Whirlpool,Brine,Draining Kiss,Dazzling Gleam
Clefable,8,34,34,Hardy,12,21,28,17,13,5,36,36,483,FALSE,16,257,2023-01-19 18:49:04,Origin Pulse,Sweet Kiss,Zen Headbutt,Baby-Doll Eyes
Vulpix,14,38,38,Lonely,27,0,15,10,22,13,37,37,299,FALSE,15,133,2023-08-20 14:21:15,Sonic Boom,Flame Wheel,Twister,Will-O-Wisp
Vulpix,15,40,40,Brave,24,13,31,9,4,19,37,37,299,FALSE,17,159,2023-02-12 03:49:32,Dragon Tail,Dragon Rush,Will-O-Wisp,Ember
Vulpix,2,13,13,Naive,15,14,18,13,25,26,37,37,299,FALSE,19,64,2024-03-08 01:39:20,Low Kick,Will-O-Wisp,Crush Claw,Heat Crash
Vulpix,5,19,19,Mild,16,31,0,30,23,19,37,37,299,FALSE,20,109,2023-06-26 10:52:29,Thunder Wave,Fire Fang,Heat Crash,Breaking Swipe
Ninetales,6,24,24,Rash,0,7,17,9,3,30,38,38,505,FALSE,11,160,2024-01-03 01:26:41,Breaking Swipe,Incinerate,Flame Burst,Vacuum Wave
Ninetales,4,20,20,Sassy,23,1,30,25,14,5,38,38,505,FALSE,16,194,2023-08-18 18:36:45,Flame Burst,Refresh,Will-O-Wisp,Twister
Ninetales,9,32,32,Hasty,9,19,21,20,21,17,38,38,505,FALSE,18,318,2023-08-21 00:21:14,Mystical Fire,Flame Charge,Low Sweep,Circle Throw
Ninetales,6,26,26,Relaxed,31,3,18,25,16,20,38,38,505,FALSE,19,274,2023-11-18 15:56:03,Focus Blast,Will-O-Wisp,Flame Wheel,Seismic Toss
